switc.	s2	s3	In: 4	In: 5	In: 6	fled	sled	thled	In: 4	In: 5	In: 6	
0	0	0	0	0	0	1	1	0	0	0	0	
1	0	0	0	0	0	0	1	1	0	0	0	
0	1	0	0	0	0	1	1	1	0	0	0	
1	1	0	0	0	0	0	0	0	0	0	0	
0	0	1	0	0	0	0	1	1	0	0	0	
1	0	1	0	0	0	0	1	0	0	0	0	
0	1	1	0	0	0	0	1	0	0	0	0	
1	1	1	0	0	0	0	0	1	0	0	0	
0	0	0	1	0	0	1	1	0	1	0	0	
1	0	0	1	0	0	0	1	1	1	0	0	
0	1	0	1	0	0	1	1	1	1	0	0	
1	1	0	1	0	0	0	0	0	1	0	0	
0	0	1	1	0	0	0	1	1	1	0	0	
1	0	1	1	0	0	0	1	0	1	0	0	
0	1	1	1	0	0	0	1	0	1	0	0	
1	1	1	1	0	0	0	0	1	1	0	0	
0	0	0	0	1	0	1	1	0	0	1	0	
1	0	0	0	1	0	0	1	1	0	1	0	
0	1	0	0	1	0	1	1	1	0	1	0	
1	1	0	0	1	0	0	0	0	0	1	0	
0	0	1	0	1	0	0	1	1	0	1	0	
1	0	1	0	1	0	0	1	0	0	1	0	
0	1	1	0	1	0	0	1	0	0	1	0	
1	1	1	0	1	0	0	0	1	0	1	0	
0	0	0	1	1	0	1	1	0	1	1	0	
1	0	0	1	1	0	0	1	1	1	1	0	
0	1	0	1	1	0	1	1	1	1	1	0	
1	1	0	1	1	0	0	0	0	1	1	0	
0	0	1	1	1	0	0	1	1	1	1	0	
1	0	1	1	1	0	0	1	0	1	1	0	
0	1	1	1	1	0	0	1	0	1	1	0	
1	1	1	1	1	0	0	0	1	1	1	0	
0	0	0	0	0	1	1	1	0	0	0	1	
1	0	0	0	0	1	0	1	1	0	0	1	
0	1	0	0	0	1	1	1	1	0	0	1	
1	1	0	0	0	1	0	0	0	0	0	1	
0	0	1	0	0	1	0	1	1	0	0	1	
1	0	1	0	0	1	0	1	0	0	0	1	
0	1	1	0	0	1	0	1	0	0	0	1	
1	1	1	0	0	1	0	0	1	0	0	1	
0	0	0	1	0	1	1	1	0	1	0	1	
1	0	0	1	0	1	0	1	1	1	0	1	
0	1	0	1	0	1	1	1	1	1	0	1	
1	1	0	1	0	1	0	0	0	1	0	1	
0	0	1	1	0	1	0	1	1	1	0	1	
1	0	1	1	0	1	0	1	0	1	0	1	
0	1	1	1	0	1	0	1	0	1	0	1	
1	1	1	1	0	1	0	0	1	1	0	1	
0	0	0	0	1	1	1	1	0	0	1	1	
1	0	0	0	1	1	0	1	1	0	1	1	
0	1	0	0	1	1	1	1	1	0	1	1	
1	1	0	0	1	1	0	0	0	0	1	1	
0	0	1	0	1	1	0	1	1	0	1	1	
1	0	1	0	1	1	0	1	0	0	1	1	
0	1	1	0	1	1	0	1	0	0	1	1	
1	1	1	0	1	1	0	0	1	0	1	1	
0	0	0	1	1	1	1	1	0	1	1	1	
1	0	0	1	1	1	0	1	1	1	1	1	
0	1	0	1	1	1	1	1	1	1	1	1	
1	1	0	1	1	1	0	0	0	1	1	1	
0	0	1	1	1	1	0	1	1	1	1	1	
1	0	1	1	1	1	0	1	0	1	1	1	
0	1	1	1	1	1	0	1	0	1	1	1	
1	1	1	1	1	1	0	0	1	1	1	1	
